EMP ID,ADLS Gen2,AWS,"AWS (CodePipeline, CodeBuild, CodeDeploy)",AWS DynamoDB,AWS Glue,AWS Kinesis,AWS QuickSight,AWS Redshift,AWS S3,AWS Sagemaker,AWS Step Functions,Adobe After Effects,Adobe Analytics,Adobe Illustrator,Adobe Photoshop,Adobe Premier Pro,Agile model of development,AirByte,Airflow,Alation,Angular,Anomaly detection,Ansible,Apache Beam,Apache Flink,Apache Kafka,ArgoCD,Atlan,Automobile,Azure,Azure ARM,Azure Bicep,Azure Cosmos DB,Azure Data Factory,Azure DevOps,Azure Event Hub,Azure ML Studio,Azure Purview,Azure SQL DB,Azure Stream Analytics,Azure Synapse Analysis,BDD,Banking,Batch Data pipeline,Bayesian Statistics,BentoML,Business Communication,CPG,Causal Analysis & Design of Experiments,Chef,Classification,Clustering,Clustering theory,Collibra,Computer Vision,Consumer Insights,CouchBase,Cucumber,DB2,Data Modelling,Data Storage,Databricks,Dataiku,"Datalake (S3, ADLS, GCS)",Deck Making,Deep Learning,Design Thinking,Digital,Dimensionality Reduction,Django,Docker,Ethics in AI & ML,Excel,Exploratory Data Analysis,FAST API,Feature Engineering,Feature Selection,Fiddler,Figma,Fivetran,Flask,GCP,GCP Cloud Build,GCP Cloud Storage,GCP Dataflow,GCP Firestore/BigTable,GCP Pub-Sub,GCP Vertex AI,GenAI,GitHub,GitLab,Go,Go Lang,GoCD,Google Analytics,Google BigQuery,Google Cloud Composer,Grafana,Graph Machine Learning,Graphic Design,Great Expectations,"Growth, Marketing & Sales",HDFS,HTML/CSS,Hadoop,Hbase,Healthcare & Pharma,Hive,Hive2,Hospitality,Hyperparameters Tuning,IOT,Informatica,Information Extraction,Insurance,Jasmine,Java,Javascript,Jenkins,Jmeter,Kafka,Knowledge Graphs,Kubeflow,Kubernetes,Linear Algebra,Logistics & Supply Chain,Looker,MLFlow,Matillion,Matomo,Memcached,Merchandising & Store Ops,Microstrategy,Mocha/Chai,Modelling Process,MongoDB,MySQL,NLP,Network Architecture Design,Neural Networks,Next JS,NiFi2,Nifi,NodeJS,NucliOS,Oozie,Operations Research,Optimization,Oracle,Pentaho,Pig,Podman,PostgreSQL,Postman,PowerBi,Pricing & Revenue Management,Probability,Project Management,Prototyping,PySpark,Pytest/unittest,Python,QlikSense,QlikView,R,Rally,React JS,Redis,Regression,Reinforcement Learning,Renewable Energy,Requirements Gathering,Retail,Rshiny,Ruby,Rust,SDLC process,SQL,SQL Server,SSIS,Scala,Seldon Core,Self-Supervised Learning,Shell scripting,Snowflake,SonarQube,Spark Streaming,Sqoop,Statistics,Storyboarding,Strategy & Planning,Streaming Data Pipeline,System Architecture Design,TDD,Tableau,Talend,Technology,Telecom,Terraform,TestRail,Testing LifeCycle,Time Series Analysis,UI design,UX design,UX research,UX writing,Value Communication Design,Video creation,Vue JS
I0077,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,3.0,1.0,,,1.0,,,,,2.0,,2.0,,,2.0,,,,1.0,,,,3.0,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,1.0,,1.0,,,,,,,1.0,2.0,,,,,,,2.0,,2.0,,,2.0,,2.0,,,2.0,,,,3.0,,,,,1.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,3.0,,,,,,,
I0082,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,3.0,,,,3.0,3.0,,,,,,,,,,,,,,,3.0,,,,,,4.0,4.0,,3.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,4.0,,,1.0,,,,3.0,,,3.0,,1.0,1.0,,3.0,4.0,,,,,,3.0,,,,,3.0,3.0,,,,,3.0,,,,,,3.0,2.0,,,,,,,
I0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,
I0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,
I01003,1.0,2.0,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,4.0,,,3.0,2.0,,,2.0,,,,1.0,,,,,3.0,1.0,2.0,,3.0,3.0,,4.0,,,,1.0,,2.0,3.0,,2.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,1.0,,3.0,,,,,,,1.0,,,,2.0,,,,,3.0,,,,,,1.0,3.0,,,,2.0,3.0,1.0,,,,2.0,4.0,1.0,,,,,1.0,,,,,,,
I01007,1.0,1.0,,,,,,2.0,1.0,,,,,,1.0,,1.0,,4.0,,,1.0,,,,,,,,2.0,,,,3.0,1.0,,,,4.0,,,,,,,,2.0,2.0,,,3.0,2.0,,,,,,,1.0,2.0,3.0,2.0,,3.0,2.0,,2.0,,,1.0,1.0,,3.0,2.0,2.0,1.0,2.0,,,,,3.0,,2.0,1.0,,,,,3.0,2.0,,,,,4.0,3.0,,,,,,2.0,1.0,3.0,,,4.0,2.0,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,1.0,,4.0,1.0,,1.0,,,,,,,,,2.0,,,,2.0,,2.0,,2.0,1.0,,2.0,1.0,4.0,,,2.0,,,,2.0,,,1.0,2.0,,,,1.0,4.0,2.0,,,,,2.0,2.0,,,,2.0,3.0,,,,,3.0,,,,,,1.0,1.0,,,,,,,
I01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
I01012,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,2.0,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,3.0,3.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,2.0,,3.0,,,,,,,,,,,,,,,,,
I01016,,4.0,,,,,,,2.0,,,,4.0,,,,,,2.0,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,4.0,2.0,,4.0,,,,4.0,4.0,2.0,,,4.0,,,,4.0,2.0,2.0,,4.0,6.0,,2.0,4.0,,,2.0,,4.0,6.0,,4.0,4.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,6.0,,,,,,,,,,,,,,,,2.0,,4.0,,6.0,2.0,,4.0,,4.0,,,2.0,,,,4.0,,,,,,,,,8.0,2.0,,,,,,6.0,,,,6.0,6.0,4.0,2.0,,,2.0,,,,,,,2.0,,,,,,,
I01020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,
